row,rt,final_value,start_value,time_elapsed,subject,facial_expressions,skinTone,starting_color,difference
1,NULL,NULL,NULL,5400,5cb39d72063f2b000133ee07,frown,light,NULL,NULL
2,12440.4,0.630158,0.630158,17843,5cb39d72063f2b000133ee07,frown,light,NULL,NULL
3,21867.3,0.896705,0.271705,39712,5cb39d72063f2b000133ee07,frown,light,dim,2.3705
4,14174.4,0.827546,0.177546,53887,5cb39d72063f2b000133ee07,frown,light,dim,-1.54542
5,6608.21,0.919115,0.969115,60496,5cb39d72063f2b000133ee07,frown,light,bright,3.11155
6,8583.14,0.923144,0.898144,69080,5cb39d72063f2b000133ee07,frown,light,bright,5.01442
7,7205.9,0.889109,0.514109,76287,5cb39d72063f2b000133ee07,frown,light,dim,0.110903
8,9081.49,0.846295,0.946295,85369,5cb39d72063f2b000133ee07,frown,light,bright,0.329499
9,NULL,NULL,NULL,4722,5cb39c18e4d6e6001c514ba7,frown,medium,NULL,NULL
10,20152,0.5,0.56575,24875,5cb39c18e4d6e6001c514ba7,frown,medium,NULL,NULL
11,8874.75,0.665858,0.740858,33751,5cb39c18e4d6e6001c514ba7,frown,medium,bright,-1.01421
12,5819.03,0.698363,0.998363,39571,5cb39c18e4d6e6001c514ba7,frown,medium,bright,2.23627
13,10333.2,0.703433,0.878433,49905,5cb39c18e4d6e6001c514ba7,frown,medium,bright,2.74334
14,7727.33,0.682106,0.607106,57633,5cb39c18e4d6e6001c514ba7,frown,medium,dim,1.5106
15,5378.21,0.664548,0.614548,63012,5cb39c18e4d6e6001c514ba7,frown,medium,dim,-0.24521
16,7723.31,0.734572,0.609572,70736,5cb39c18e4d6e6001c514ba7,frown,medium,dim,5.85725
17,NULL,NULL,NULL,4789,5cb397467965a30001aed56d,frown,dark,NULL,NULL
18,14629,0.0227735,0.0227735,19422,5cb397467965a30001aed56d,frown,dark,NULL,NULL
19,13876,0.430485,0.305485,33300,5cb397467965a30001aed56d,frown,dark,dim,-7.95145
20,7389,0.45,0.919879,40691,5cb397467965a30001aed56d,frown,dark,bright,-7
21,3419,0.484414,0.334414,44111,5cb397467965a30001aed56d,frown,dark,dim,-3.55855
22,2523,0.46909,0.51909,46636,5cb397467965a30001aed56d,frown,dark,bright,-4.09105
23,5038,0.405243,0.630243,51677,5cb397467965a30001aed56d,frown,dark,bright,-8.47568
24,3563,0.366428,0.241428,55241,5cb397467965a30001aed56d,frown,dark,dim,-12.3572
25,NULL,NULL,NULL,2646,5cb37ac5e1ece20013b59f60,smile,light,NULL,NULL
26,23665,0.581144,0.231144,26317,5cb37ac5e1ece20013b59f60,smile,light,NULL,NULL
27,12524,0.839801,0.539801,38847,5cb37ac5e1ece20013b59f60,smile,light,dim,-0.319896
28,13169,0.872477,0.922477,52024,5cb37ac5e1ece20013b59f60,smile,light,bright,-1.55231
29,16035,0.869976,0.319976,68064,5cb37ac5e1ece20013b59f60,smile,light,dim,-1.80241
30,10625,0.842807,0.267807,78695,5cb37ac5e1ece20013b59f60,smile,light,dim,-0.019267
31,7645,0.905347,0.955347,86348,5cb37ac5e1ece20013b59f60,smile,light,bright,3.23467
32,6686,0.914029,0.939029,93038,5cb37ac5e1ece20013b59f60,smile,light,bright,4.10294
33,NULL,NULL,NULL,7340,5cb10888e25ee40018e49d48,smile,medium,NULL,NULL
34,3156,0.844593,0.844593,10500,5cb10888e25ee40018e49d48,smile,medium,NULL,NULL
35,36981,0.811121,0.811121,47483,5cb10888e25ee40018e49d48,smile,medium,bright,13.5121
36,21214,0.985468,0.960468,68699,5cb10888e25ee40018e49d48,smile,medium,bright,31.8468
37,14879,0.131839,0.156839,83579,5cb10888e25ee40018e49d48,smile,medium,dim,-54.4161
38,12399,0.457633,0.432633,95979,5cb10888e25ee40018e49d48,smile,medium,dim,-21.8367
39,6214,0.859448,0.859448,102195,5cb10888e25ee40018e49d48,smile,medium,bright,18.3448
40,6343,0.353071,0.353071,108540,5cb10888e25ee40018e49d48,smile,medium,dim,-31.3929
41,NULL,NULL,NULL,3069,568eca7be3ef9e000ca208fc,smile,medium,NULL,NULL
42,15603,0.5,0.167502,18681,568eca7be3ef9e000ca208fc,smile,medium,NULL,NULL
43,13410,0.737597,0.787597,32096,568eca7be3ef9e000ca208fc,smile,medium,bright,6.15967
44,9699,0.74479,0.41979,41800,568eca7be3ef9e000ca208fc,smile,medium,dim,7.77901
45,12318,0.738123,0.888123,54121,568eca7be3ef9e000ca208fc,smile,medium,bright,7.11226
46,15301,0.720595,0.520595,69424,568eca7be3ef9e000ca208fc,smile,medium,dim,4.45946
47,10638,0.748083,0.873083,80065,568eca7be3ef9e000ca208fc,smile,medium,bright,7.2083
48,11766,0.739666,0.0896664,91833,568eca7be3ef9e000ca208fc,smile,medium,dim,6.36664
49,NULL,NULL,NULL,4206,5cb20704764cce0018a2da22,smile,dark,NULL,NULL
50,91618,0.5,0.907268,95837,5cb20704764cce0018a2da22,smile,dark,NULL,NULL
51,25975.1,0.484731,0.934731,121822,5cb20704764cce0018a2da22,smile,dark,bright,-0.526885
52,14828.7,0.477288,0.952288,136662,5cb20704764cce0018a2da22,smile,dark,bright,-4.27123
53,10742.1,0.474519,0.474519,147410,5cb20704764cce0018a2da22,smile,dark,dim,-3.54812
54,28867.8,0.477117,0.877117,176284,5cb20704764cce0018a2da22,smile,dark,bright,-3.28827
55,14875.7,0.434911,0.384911,191164,5cb20704764cce0018a2da22,smile,dark,dim,-5.50891
56,9806.16,0.417129,0.142129,200973,5cb20704764cce0018a2da22,smile,dark,dim,-10.2871
57,NULL,NULL,NULL,3520,5a960936f6dfdd0001ea6399,frown,light,NULL,NULL
58,6190.92,0.892143,0.892143,9715,5a960936f6dfdd0001ea6399,frown,light,NULL,NULL
59,7941.85,0.935681,0.985681,17661,5a960936f6dfdd0001ea6399,frown,light,bright,6.26806
60,1504.21,0.923726,0.923726,19168,5a960936f6dfdd0001ea6399,frown,light,bright,3.57263
